,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_e,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
14,0,I2,2,0.612,3.06E-07,59.61367673,1.245744913,0.082564146,0.705373002,0.773191397,5.373855121,0,0,0,0,9.83E-06,1.25E-05,0.000307744,0.010088371,0.000400207,0,0,0.000101615,4.09E-05,0.000147754,0.000295064,5.21E-05,0.000116582,0.003393868,0.000733228,1.49E-05,0.000910366,0.011165533,0.000323459,0.001686082,0,0.000267767,3.63E-05,1.01E-05,5.47E-05,0,5.97E-05,1.03E-05,3.54E-05,0,0,0.000105369,3.06E-05,0.002317386,0.000911173,0.017864851,0.002011192,0.00076301,0.00086101,0,0.001309823,0.000888641,0.004298423,0.000762152,0.000580118,0.000476074,0.00675859,0.000270229,0.000272548,0.002236339,0.002763453,0.001061038,0.000246817,0,0.001889277,0.004209293,0,0.00055161,0,0,0,0,0,0.01018624,0,0,0,0,0.001302695,0,0,0,0,0,0,0,9
15,2,I2,11,0,0,56.43378108,2.044453316,2.024633754,2.506927176,4.605670215,11.97610325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
16,4,I2,20,2.212,5.53E-07,51.1196714,0.032797422,2.005258701,3.528674512,1.714777319,14.23207327,0.363232579,0,0,0,0.000100557,0.00125241,0.000623555,0.005778359,0.00399437,1.66E-06,0,0.000232186,0.000124701,0.000263657,0.001210413,0.00015913,0.000290864,0.00502856,0.00162132,2.50E-05,0.000208847,0.057283405,0.000440983,0.00530024,0,0.000254147,2.89E-05,4.41E-05,6.89E-05,0,0.000409385,8.32E-05,0.000302616,0,0,0.000623022,6.43E-05,0.003416635,0.001536294,0,0.004629784,0.000824191,0,0,0.001577075,0.000638714,0.00039283,0,0.000258069,0.000615179,0.010560074,0.000192975,0.000407252,0.003162182,0.005075931,0.001165743,0.000363679,0,0.002630934,0.05769722,0.001152842,0.030542078,0,0,0,0.002113785,0,0.011117293,0.000780809,0,0,0,0.001546733,0,0,0,0,0,0,0,9
17,6,I2,29,0,0,48.43766652,0.030198228,2.018070963,3.772524423,2.296306756,13.85110741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216776,0.068409288,0.001036407,0.055246449,0,0.000784432,0,0.004106475,0,0.011615081,0.001117355,0,0,0,0,0,0,0,0,0,0,0,9
18,8,I2,38,2.932,7.33E-07,42.78452487,0.020161753,1.980226946,4.36482016,2.517140995,12.76696087,1.174667979,0,0,0,0,0.002758794,0.000869716,0.00536378,0.006082447,1.65E-06,0,0,0,0,0,0,0,0.006024065,0.002171693,4.14E-05,5.57E-05,0.079377261,0.000348482,0.007796173,0,0.000256737,3.42E-05,7.20E-05,0.000109409,1.77E-06,0.000376204,9.24E-05,0.000207137,0,0,0.00087602,4.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001457507,0.091441629,0.005182998,0.108555263,0,0.000830173,0,0.010320483,0,0.010697022,0.001075658,0,0,0,0,0,0,0,0,0,0,0,9
19,10,I2,47,0,0,36.25993561,0.016893459,1.997696672,4.717306838,3.306756463,10.43573689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000754549,0.093955106,0.006750541,0.152478577,0,0.000980867,0,0.015258237,0,0.010219964,0.001473546,0,0,0,0,0,0,0,0,0,0,0,9
20,12,I2,56,3.492,8.73E-07,32.48134991,0.003604122,1.964882717,4.833348135,3.480295459,6.777485429,2.14329618,0,0,0,0.000129051,0.003675134,0.001283674,0.007188824,0.012005255,4.51E-06,0,0.00046227,0.000193568,0.000386296,0.001871281,0.000247255,0.000274626,0.003728199,0.00168904,3.13E-05,9.37E-05,0.07642908,0.000273833,0.011104566,0,0.000235414,3.36E-05,7.16E-05,0.00014354,4.77E-06,0.000199305,9.06E-05,0.000127206,0,0,0.002924157,3.16E-05,0.000363057,0.000910599,0,0.000500966,0.000320464,0,0,0.001231225,0,0.00051451,0,0.000275475,0.000385825,0,0,0.000161403,0.002106807,0.003595568,0.000637413,0.000193216,0,0.000516943,0.088196834,0.008269449,0.194827932,0,0.001527914,0,0.019181393,0.001231945,0.010649564,0.001955166,0,0,0,0.002005829,0,0,0,0,0,0,0,9
21,16,I2,65,0,0,25.94665853,0,1.929020239,4.582648757,3.725722355,2.751706911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000276434,0.111094494,0.012475459,0.234369999,0,0.002194438,0,0.029013464,0.00258967,0.012751217,0.002252136,0,0,0,0,0,0,0,0,0,0,0,9
22,18,I2,74,3.643,9.11E-07,21.71508659,0,1.966508595,4.318061723,3.769976103,2.098068276,5.501441484,0,0,0,0.000138903,0.004221687,0.001908672,0.008473734,0.01079218,1.62E-06,0,0.000371303,0.00019382,0.000374855,0.002012239,0.000308033,0.000215372,0.003158207,0.001541392,4.62E-05,8.01E-05,0.061996935,0.0002483,0.008539536,0,0.000235058,3.33E-05,8.72E-05,0.00027148,6.75E-06,0.000177505,9.97E-05,7.09E-05,0,0,0.003688483,1.77E-05,0.000398618,0.00064675,0,0.000408062,0.000311106,6.22E-05,0,0.001303086,0,0.000587511,0,0.000335926,0.000603568,0,0,0.000218818,0.00223452,0.003881033,0.000767516,0.000184178,0,0.000369792,0.110488373,0.013401614,0.239758025,0,0.002548599,0,0.028145531,0.002609384,0.008981546,0.003057609,0,0,0,0.001483307,0,0,0,0,0,0,0,9
23,20,I2,83,0,0,16.46131217,0,1.924997883,4.496591918,4.133326092,2.121548709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548125,0.116837545,0.016368539,0.253626738,0,0.002837504,0,0.033088375,0.002174762,0.010476354,0.0036634,0,0,0,0,0,0,0,0,0,0,0,9
