,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_e,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
70,0,L1,6,1.325506414,6.63E-07,59.32532194,1.304574143,0.185573715,0.674780195,2.140202042,8.266711074,0,0,0,0,2.56E-06,3.71E-06,0,7.14E-05,0,8.24E-06,5.40E-05,0.000194406,9.38E-05,4.85E-05,0.000641765,7.70E-05,0.000386459,0.003907863,0.000914572,1.46E-05,0.004379676,0.009126084,0.0002308,0.002079791,0,0.00015484,3.20E-05,1.82E-05,4.27E-05,6.00E-07,0.000112925,3.33E-05,4.79E-05,0,0,0,1.09E-05,0.002509733,0.0007634,0.008699909,0.001623312,0.000809359,0.000873676,0,0.001633387,0.000981288,0.004180545,0.000635805,0.000443798,0.000709387,0.009722676,0.000310808,0.000392895,0.002242397,0.002742121,0.00103296,0.000216967,0,0,0,0.001731937,0.023398599,0,0,0.004013249,0,0,0.001704589,0,0,0,0,0.001623143,0,0,0,0,0,0,0,1
71,2,L1,15,0,0,52.16801732,1.192242744,2.101642815,1.59295071,3.004236368,17.76019983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,4,L1,24,2.967,7.42E-07,46.92273535,7.322937883,1.973655686,2.201210036,2.739539431,21.21698585,0,0,0.017743313,0,0.000203158,0.000161369,0.000516691,0.000721004,0,5.14E-05,6.35E-05,0.000363222,0.000200192,0.000423087,0.002462201,0.000188178,0.000815275,0.00220451,0.001650204,4.53E-05,0.001682432,0.07576426,0.000172424,0.008518569,0,0.000118669,7.20E-05,0.000102588,0.000129697,4.56E-06,0.000179039,6.91E-05,0,0,0,6.01E-05,1.67E-05,0.000972519,0.001102114,0,0.00339035,0.000372125,0.000100837,0,0.001026161,0.000190511,0,0.000217484,0,0.000243925,0.002692315,0,5.48E-05,0.002034873,0.00310505,0.000282769,0.000201704,0,0,0,0,0.00383316,0,0.000260874,0.005254816,0,0,0.001762283,0.000198092,0,0.000283558,0,0.001604094,0,0,0,0,0,0,0,1
73,6,L1,33,0,0,43.11040187,7.888557995,2.040020323,3.645426288,3.399565501,23.60982515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152116,0,0.000505528,0.006056747,0,0.000336856,0.003632567,0,0,0.001768993,0.000239549,0,0,0,0,0,0,0,0,0,0,0,1
74,8,L1,42,3.361,8.40E-07,40.01387655,6.63098677,2.005224829,3.005084369,5.841429502,28.49408826,0,0,0.058233419,0,0,0.000170785,0.000756921,0.001491663,0,0.000121794,0.000149119,0,0,0,0,0,0,0.001604268,0.001475101,3.80E-05,0.000546171,0.08092936,0.000235592,0.004766341,0,0.000151152,6.23E-06,0.000125549,7.16E-05,3.27E-06,0.000117706,0.000102435,0,0,0,9.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000584227,0,0,0.00805514,0,0.000590045,0.00398266,0,0.000133635,0.001888546,0.000222427,0,0,0,0,0,0,0,0,0,0,0,1
75,10,L1,51,0,0,36.34397202,3.253350182,1.950707088,2.018028419,3.953204432,33.77818485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001618842,0.004010373,0,0.008858314,0.00023513,0.000996996,0.003356596,0,0.000270297,0.001559198,0.000233719,0,0,0,0,0,0,0,0,0,0,0,1
76,12,L1,60,3.285,8.21E-07,35.1393206,1.652248183,1.923024812,0.993982016,4.266652183,37.55037469,0,0,0.108966985,0,0.00023116,0.000168154,0.000804748,0.001508219,0.000327565,8.96E-05,0.00013322,0.000347333,0.000183919,0.000362964,0.002895685,0.000236927,0.000488733,0.000859064,0.001051817,2.75E-05,0.00065466,0.042282619,0.000199878,0.002181097,0,0.000110163,2.67E-06,0.000130074,6.42E-05,3.23E-06,0.000114067,8.03E-05,0,0,0,8.40E-05,0,0.000142703,0.001356554,0,9.99E-05,0.000293,0.000379861,0,0.00082311,2.60E-05,0,0,0,0.001334771,0,0,9.86E-05,0.001777894,0.003184412,0.000178464,8.05E-05,0,0.002393435,0.007027668,0,0.075074896,0,0.000635044,0,0,7.68E-05,0.001859622,0.000312463,0,0.000460803,0,0.001610807,0,0,0,0,0,0,0,1
77,16,L1,69,0,0,32.43067274,0.252827992,1.858811076,0.086234791,4.136671736,42.19350541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003135708,0.017409171,0.000768799,0.009814299,0,0.001516719,0.004510486,0,0.000373464,0.001918473,0.000218947,0,0,0,0,0,0,0,0,0,0,0,1
78,18,L1,78,3.449,8.62E-07,32.85429618,0.075310936,1.990405623,0.026388877,3.959743645,46.95370525,0,0,0.135575778,0,0.000190574,0.000142823,0.00233313,0.002774149,0.000554315,0.000162761,0.000179711,0.000205774,0.000116415,0.000197764,0.002241478,0.000212471,0.00031721,0,0.000795969,1.94E-05,0.000155746,0.017570919,0.000114255,0.000590181,0,8.63E-05,0,7.79E-05,3.34E-05,1.48E-06,6.70E-05,8.44E-05,1.79E-05,0,0,6.21E-05,0,0.000165229,0.001386176,0,5.01E-05,0.000240878,0.000475242,0,0.000645162,2.60E-05,0,0,0,0.001731676,0,0,0.00017775,0.00143553,0.002912484,0.000264411,5.60E-05,0,0.003240521,0.016854975,0.000610205,0.009747147,0.000263631,0.001547755,0.003410202,0,0.00054719,0.001451909,0.000266143,0,0.001338366,0,0.00152268,0.000492141,0,0,0,0,0,0,1
79,20,L1,87,0,0,29.61828375,0.080964819,1.842137353,0.04251532,4.018444493,46.81615321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003609193,0.039352129,0.000558985,0.009663816,0.000230648,0.002360717,0.003741674,0,0.000662979,0.001583957,0,0,0,0,0,0,0,0,0,0,0,0,1
