,ACACT1r,BISS,HMGR,HMGS,IPDDI,GRTT,LIMS,ERG1,NudB,MVD1,ERG8,GND,FRD2,PPC,FUM,PFK,SUCDi,FDH4pp,ICDHyr,PFL,ACKr,ENO,PGI,PGK,RPI,SUCOAS,TPI,TALA,FRD3,FBA,GAPD,FBP,PTAr,PDH,ACALD,FHL,CS,G6PDH2r,PYK,AKGDH,PDXPP,PPCK,PPS,ACONTa,ME1,TKT1,ACS,TKT2,MDH2,ACONTb,PGM,MDH,ME2,YPL069C,GLYCL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.168068527300992,-0.14886338591448287,-1.2672222027972273,-0.03242147769237734,0.6171976920111973,-0.9445048874082966,3.86121526090016,3.6466279390247784,1.3085075791250407,2.297320597427718,4.289601144438175,-1.493346577243957,-1.2728414440238058,-0.9041535975557541,-1.0171189511417316,-1.0021117496724679,0.046579744208772644,-1.2660748601538447,-1.2615179077534902,-1.1995040070548195,-1.3584282999538215,-1.3809313884529506,-0.9633999894438509,-1.2319432509010773,-1.5619624316116518,-1.0212666700691662,-1.3271060099687135,-0.8680894354168771,-0.6380001645812887,-1.537253843115471,-1.1796403652973133,-1.211482807282158,-1.3306733877209878,-1.2763771054797513,-0.9007521459095692,-0.6264915913850962,-0.3024864631925558,-1.0421893992907147,-1.2286883371930402,-1.304466398901484,-0.16992500144231226,-0.8871404323342311,-1.5411462684286668,-0.9925441950809527,-0.7924045805916324,-1.2232272660104528,-0.685891409571937,-1.8073549220576042,-1.3949137033714718,-0.6871809352138387,-0.8560301155369259,-1.1565649468849066,-0.7739963251111732,5.584429004490318,-1.2763771054797513
8,4.089233158813189,-0.9175378398080271,-1.389706209322222,-0.16992500144231226,1.5376257398794473,-0.3192785164734132,4.739428110544978,4.658596003678023,2.1684399832557237,3.7949596604255715,5.061576934247326,-1.1511888202617744,-0.42712818660557467,-0.5854390308793742,-0.3656576103333362,-0.6593991158280541,0.1943234917874651,-1.3800310494509305,-0.8844255233329923,-1.175234047748324,-1.0030066597354497,-1.0681859455875509,-0.5909056400871864,-0.9406817435239052,-0.7452791713877345,-0.7972551279527393,-0.9598606091467856,-0.48153833417260605,-0.6716518057563962,-1.0936560886142415,-0.8504428614127306,-0.8960011447251274,-0.966303396358092,-1.1216262585506687,-0.5507290796155351,-0.5862710872032196,0.46951071935896027,-0.632817469865934,-0.9701566828655019,-0.9858233130065445,-0.45720695352278345,-0.6164147901044269,-0.7712660517897256,-0.46833572543889285,-0.31550182572792934,-0.9139812537990658,-0.2094533656289497,-1.0188590272513158,-0.9085055098710452,-0.3904398659496148,-0.6424263627051043,-0.7413252903800769,-0.5807502494342417,6.370658106998469,-1.1216262585506687
12,3.9898657697241684,-0.057715497856287504,-1.5849625007211563,-0.21572869105543707,1.1774597521040293,-0.5328739895727019,4.398400730054497,4.610684164130682,1.8653323233440178,3.738463719992301,5.464715629253519,-1.6615665847088688,-1.0278893971734695,-0.9698248860608845,-0.9103740444642987,-0.9077188317250553,-0.12396606291092105,-0.29373120305671035,-1.1778493047931007,-1.9610636444865017,-1.6348736250471756,-1.5783735658319367,-0.989658055778541,-1.2747140228210765,-1.170742441899754,-1.0049540824006131,-1.315803360903212,-0.9546398469175665,-1.0669197460242488,-1.482915789791329,-1.306802995944572,-1.3973912926220189,-1.4177780786232181,-1.6614461599791308,-0.9637655415420134,-0.8538555777473936,0.3452718613699989,-0.9544414873908283,-1.4297726176976713,-1.402292837759017,-1.506959988719883,-1.173618251379621,-1.5786209738473296,-0.7159400907030808,-0.4854268271702417,-1.3747108437707785,-0.4020984435713458,-0.3659197327141528,-1.4912335645275152,-0.9345452666288311,-0.9720097165759641,-1.1155074477056641,-0.9529664661564924,5.963644453013996,-1.6614461599791308
18,3.6348508547607064,0.10893437155316393,-1.965566502936126,-1.0324214776923772,0.8999320157555127,-1.065095028221885,4.180466201368317,4.463587248128609,1.4150374992788437,3.7283838776738887,5.437716086280321,-1.6585773165254207,-1.1264969941141294,-0.6512601537557701,-0.7884472897660504,-0.9803031345402708,-0.12899281655938688,-1.7118746132033758,-1.2714037597703216,-2.3026174230310814,-1.768340767054798,-1.5690443275155923,-1.2896713742374626,-1.4187802893220396,-1.018639783676177,-1.174623305006945,-1.2044146804073923,-0.6645880680135405,-1.5550754822024473,-1.6689725624518528,-1.552780275254178,-1.7967679863895691,-1.5797081910561153,-1.624376178708688,-1.0217473976395623,-1.2812328899783287,0.21169139656694186,-0.9273336849350966,-1.3278747546359342,-1.524267550477691,-0.84799690655495,-1.4071474912146176,-0.8840339819516752,-0.27957408198372496,-0.6712182340715749,-1.4561803326063856,0.19993757050875202,0.041552489444505944,-1.8619446041133039,-1.3788018914318851,-1.1323347352045285,-0.9723344733383125,-0.8129904567270368,5.658130822713839,-1.624376178708688
24,3.9469619753732146,-0.0874628412503396,-1.3536369546147007,-0.2823997307007248,1.3010642453618162,-0.6611980865482415,4.230714832932284,4.638240960846227,1.9193047659822147,3.9069738656463984,5.791736845753769,-1.3313584769413005,-1.1172489173121134,-0.1643375306600472,-0.4092937784137425,-0.46007308226486787,-0.9748828112507534,-0.7754397419808418,-1.0490840127930505,-2.264979765667716,-1.8275187029895714,-1.4652638696126057,-0.6270879763938327,-1.1546802791255988,-0.988019021829618,-0.9551418383962402,-0.705860804564574,-0.2883445534497966,-1.4061537466020682,-1.429062762490414,-1.2555305086073953,-1.9544543520278235,-1.3216232801426264,-1.5111855835915597,-0.8680799422638507,-0.47848454397388673,0.56853928284726,-0.7013225504221171,-0.9183992568106035,-1.2570937124204244,-1.6959938131099,-1.064947001300994,0.38290487833803466,0.30538841873743106,-0.770265603322384,-1.2104239182044272,-0.35147237050137786,0.7218981460772642,-1.678056533663539,-1.2100754403957086,-0.8130640782855872,-0.6460003313567668,-0.4066252594626437,5.954233851078631,-1.5111855835915597
36,3.6883074026125184,0.2583119955913907,-1.2672222027972273,0.00799279075353094,1.002326552739151,-1.543142325026529,4.128175145937786,4.3958142272331,1.7764939583528434,3.756228490294626,5.604389884171792,-1.5545445144929828,-1.2626095214128497,-0.31740889149258855,-0.6246358891327818,-0.6225222827659245,-1.0623332718364973,-1.3030690676360464,-1.36437751515217,-2.4458522522077644,-1.9536958090667162,-1.5840673203366518,-0.9433024200868014,-1.4437801022840835,-1.3929385514863322,-1.2365589981298974,-0.7793622891046781,-0.49572014833439604,-1.8951821436623124,-1.5856068471540505,-1.5121534172310407,-1.4788735424780715,-1.773057496814763,-1.5131484342901098,-0.989248012233542,-0.7778713945941491,0.26790992439393607,-0.6573536912114414,-0.8937757159238771,-1.285664181985054,-1.2105669859396582,-1.7172154308919187,0.39745318690718984,0.3353209248142615,-0.8073549220576042,-1.6626312100738119,0.21681138907314804,0.5943003653004922,-1.873726351823026,-1.7569361774410919,-1.0637124338467465,-0.9423983135749209,-0.44057259138598126,5.828834922462772,-1.5131484342901098
48,3.77702870019066,0.3499424710569588,-0.9385994553358568,-0.024247546246677184,1.0185541824313618,-1.246160587269398,4.38072424223011,4.5142436735973215,1.8168651413400767,3.889633672953704,5.944194651551895,-1.367815695160098,-0.7068280461036398,0.003806585429734477,-0.30555240857918914,-0.2792986636735255,0.10088217013663087,-0.5145731728297583,-1.1704782881378337,-2.4161700203138112,-1.9732183673315347,-1.2875305010741378,-0.7192816746035792,-1.1849547763045076,-0.9048682835808087,-1.2102752306258244,-0.6449872717933738,-0.1935868806502753,-1.7108274272303838,-1.2588159757198332,-1.4605844161324915,-1.3086221998459249,-1.5171271042820318,-1.4558662779594198,-0.6357042086381268,-0.4547194597766353,0.5329076548472256,-0.24758433562236928,-0.6207217808363658,-1.1471079193951692,-1.3856536924977494,-1.73205592220282,0.7318722259777491,0.9467017738399508,-0.5343364276511882,-1.5410692301928983,0.29834127456974663,1.0,-1.7202311985498409,-1.4996353496151862,-0.8089730884584027,-0.7614775487767029,-0.3517633244281253,6.194450983102082,-1.4558662779594198
72,3.686615204378673,-0.3148733373534119,-1.1085244567781691,0.4447848426728959,0.8390695666918486,-2.2801079191927354,4.482196412647176,4.360728929411211,2.0540766727557926,3.7625927212987897,6.067223914402431,-1.1935574596258434,-0.32511872289086036,0.44917318343971585,-0.5652657815711127,0.0817976580705603,-0.5739808950047459,0.5950513183447399,-0.8542058711254186,-1.742323617609387,-1.915425792138999,-0.8931327678543305,-0.18989406346282128,-0.7705973124098733,-0.545967215791371,-1.1802290009852574,-0.12829404708924602,0.5082652604696427,-0.5366637865245839,-0.8905535732804245,-1.3000077221481008,-1.3376004847456824,-1.624054309222057,-1.6500628223723375,-0.3472955329275562,-0.1568574180298324,0.7899169489945315,0.15247371652568367,-0.2946903149471964,-1.054853226525866,-1.1500254440046076,-1.9853208262731343,1.1958193257375394,1.5509261767217402,-0.3866928735848821,-1.4276111804096148,0.18286405714981044,1.6595094540862099,-1.727339335601068,-1.0948934035478284,-0.540551561246692,-0.44818467871735274,-0.048618705220178915,6.361449644149968,-1.6500628223723375
