,Strain,Hour,Replicate,OD600,ipoh_e,glc__D_e,ac_e,for_e,pyr_e,lac__D_e,succ_e,mal__L_e,akg_e,acon__C_e,cit_e,icit_e,mev_R_e,ip_e,dxyl5p_e,2me4p_e,5pmev_e,ex_con.id,h2mb4p_e,2mecdp_e,5dpmev_e,grdp_e,frdp_e,ggdp_e,4c2me_e,gly_e,ala__L_e,ser__L_e,pro__L_e,val__L_e,thr__L_e,cys__L_e,leu__L_e,ile__L_e,asn__L_e,asp__L_e,gln__L_e,glu__L_e,met__L_e,his__L_e,phe__L_e,tyr__L_e,trp__L_e
42,I2,2.0,1,1.6569999999999998,10.75502322,9.213263332999999,1.06046,0.0317827,35.00078695,367.7277637,91.07839575,21.76822984,0.0,0.540186128,2.9816448660000003,0.0,2.21120967,26.81506454,0.0,0.0,0.0,0.69599378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0042497999999,161.1766753,45.19126288,298.1361316,87.25368074,29.31389686,4.185353892,400.41725319999995,256.7019079,442.0553636,0.0,17.43869687,19.53048395,90.60070161,12.72694697,320.5221743,44.51739788,23.75439979
43,I2,2.0,2,1.645,11.41823481,9.213263332999999,1.08125,0.038108800000000005,75.52784142,418.4015715,103.7351185,23.58762369,0.0,0.926938122,6.033509463,0.0,2.438565942,26.88334022,0.0,0.0,0.0,0.691183661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.2124775000001,153.79438080000003,53.3053753,290.7134878,87.9216698,22.41567974,3.310220157,381.1254938,244.7712734,366.2376144,0.0,14.86875318,21.87529288,87.107118,12.54885229,313.5053587,46.87823453,21.44184154
44,I2,2.0,3,1.6909999999999998,12.00196033,9.213263332999999,1.0580200000000002,0.0324549,50.88252377,410.9957185,98.56477217,22.06422963,0.0,0.877926586,2.165576485,0.0,2.433641508,27.58002846,0.0,0.0,0.0,0.752397685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.3764557999999,157.2897342,46.95467921,289.948826,85.66251001,23.34920075,3.461806482,377.8223392,255.9910161,384.4025332,0.0,14.73252272,22.31048778,87.78219677,12.15243022,310.0153932,42.64844042,22.40301119
45,I3,2.0,1,1.49,8.215342341,9.021016667,1.00973,0.0,50.46479417,244.9208571,87.15787195,20.30724683,0.0,0.0,2.381530934,0.0,1.5102634959999999,24.70225423,0.0,0.0,0.0,0.6496233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.5118113,158.0673049,43.18769476,306.11449480000005,96.2740655,77.84186094,3.711831487,418.5707885,290.3926619,573.5954423,0.0,33.82494417,45.71859382,103.9599143,13.31113934,332.7080513,48.47459799,20.473074899999997
46,I3,2.0,2,1.46,8.323120971,9.021016667,1.01138,0.0,56.17643604,242.4781403,86.6396344,20.85005041,0.0,0.0,4.038117977,0.0,1.5705087030000002,25.36098127,0.0,0.0,0.0,0.7221259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.1748021000001,165.2254907,46.09898866,315.2009027,96.47083263,83.06716779999999,3.502291122,417.30712860000006,284.68677310000004,582.2274771000001,0.0,31.26857115,48.70354833,105.6797492,13.98439068,345.1366627,57.68192293,21.1134017
47,I3,2.0,3,1.454,8.004793057999999,9.021016667,0.9237040000000001,0.0,54.37841424,261.0149489,92.11018023,22.25862805,0.0,0.0,2.673506876,0.0,1.54128288,25.446457199999998,0.0,0.0,0.0,0.605653981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.9078796,165.3885381,50.29720279,302.2209284,93.38304101,79.86091916,3.2566103589999997,423.027337,268.08295719999995,555.4172607,0.0,29.94393506,46.4733143,102.7252098,12.4994352,325.02250860000004,48.69894132,19.28282821
48,WT,3.0,1,2.661,0.0,8.547536667000001,1.72062,0.0805228,444.21335889999995,711.9412231000001,90.60070935,13.42027894,0.0,1.7717857830000001,10.74104019,0.0,0.0,0.0,0.299528804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.18415,82.72532104,0.0,81.29726798,39.04392394,0.567657294,3.937824514,242.90518369999998,97.04693179,0.0,0.0,1.32917627,7.752933721000001,14.37198117,4.593033778,216.6569145,15.48831828,3.9346294960000003
49,WT,3.0,2,2.7,0.0,8.547536667000001,1.7060400000000002,0.08173430000000001,376.2661988,692.1776136,86.68540575,13.24355778,0.0,1.165066661,7.4871269510000005,0.0,0.0,0.0,0.247156774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.3086887,85.04324017,0.0,85.28656486,40.13730155,0.0,3.986443055,251.43241899999998,110.08168859999999,0.0,0.0,1.749193177,7.5810835370000005,14.85470686,5.005909394,234.019636,15.869984599999999,3.9481453889999996
50,WT,3.0,3,2.688,0.0,8.547536667000001,1.7093099999999999,0.0749929,401.5608729,712.5775524000001,91.27623388,13.12960807,0.0,1.798310712,9.196252165,0.0,0.0,0.0,0.25693568699999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.6487085,83.46385677,0.0,83.47545442,39.35076286,0.0,3.327227403,264.3528015,105.96714270000001,0.0,0.0,1.2800325209999999,8.039602007000001,15.10098966,5.026429035,231.71051969999996,15.19901258,4.057923253999999
51,I1,3.0,1,1.84,23.92699033,8.938955,1.3723299999999998,0.0192791,60.11846318,306.76950919999996,46.74404344,29.35425632,0.0,0.821610765,4.763614418,0.0,6.923409855,34.11511435,0.0,0.0,0.0,1.064283602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.1531115,144.08634709999998,0.0,260.4020807,76.01794361,0.0,3.2793483080000003,340.9496303,227.16133540000004,361.7558122,0.0,3.6856065769999997,3.8015955339999996,73.92078415,9.50285071,290.67591,41.39853467,7.5556574560000005
52,I1,3.0,2,1.879,26.65772775,8.938955,1.17864,0.0291676,70.43387121,367.2131418,47.86237737,26.47663792,0.0,0.0,4.272122351,0.0,6.532172011,36.80835551,0.0,0.0,0.0,1.02869496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.50152689999993,137.1256169,60.95667026,246.33039019999998,70.25202436,0.0,4.1445919589999995,358.4367355,203.80142130000002,308.03004239999996,0.0,2.9590274689999996,3.642100275,68.50442918,8.596185973999999,274.2411601,34.25059123,6.492689975
53,I1,3.0,3,1.791,24.94397694,8.938955,1.2159,0.0206716,72.24209042,318.56180710000007,49.99259849,27.4359127,0.0,1.070375756,7.8823374070000005,0.0,6.487727475,34.40127293,0.0,0.0,0.0,0.919808528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.9972625,143.789447,72.21997209,259.0774192,74.9898953,0.0,3.870442544,346.82277789999995,227.1352264,329.9973005,0.0,2.816086513,3.505369206,72.27998508,9.04859061,291.30451439999996,38.85828286,6.643891041
54,I2,3.0,1,2.0709999999999997,28.32950159,9.010033332999999,1.14096,0.030167700000000002,64.06486063,288.51131910000004,67.9509292,24.22729181,0.0,0.986872986,5.339508298,0.0,9.71046513,49.50642582,0.0,0.0,0.0,1.221544081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.1817177,155.120591,0.0,300.7227631,83.71397612,0.0,4.443420367,431.98595520000003,265.0007088,358.4620497,0.0,3.2757926110000004,8.792741638999999,82.82428407,11.19016795,378.4432534,41.98850208,20.8221625
55,I2,3.0,2,2.036,29.31969546,9.010033332999999,1.1225,0.0341385,65.70445839,391.9574895,78.93643042,23.03110735,0.0,1.196005055,1.758900643,0.0,10.07878658,50.14974267,0.0,0.0,0.0,1.250287854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.4029749,123.84220479999999,0.0,230.7941284,71.41288191,0.5027515,3.982745828,332.0013015,199.1909149,186.2131177,0.0,2.671149871,6.680633325,61.76384535,6.574194792,274.1752512,35.7887365,13.746264499999999
56,I2,3.0,3,2.082,28.33177657,9.010033332999999,1.1255600000000001,0.036269699999999995,48.15216739,330.28867710000003,77.96168990000001,23.22992509,0.0,2.14902676,14.77022529,0.0,10.66193539,52.30559253,0.0,0.0,0.0,1.287919043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0940544,125.9998136,71.04981385,228.2123824,69.89685859,0.0,3.789842986,349.5846396,194.7105104,203.2667679,0.0,2.839535815,7.145329257999999,60.88760188,6.948729682000001,268.2939918,30.15513533,13.54323427
57,I3,3.0,1,1.851,20.37397538,8.79809,1.07429,0.0,55.28197755,270.7045232,55.72347358,20.76633226,0.0,1.347475196,10.12135682,0.0,7.836870724,42.580656700000006,0.0,0.0,0.0,1.226330812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.093336,141.6978523,0.0,243.9150934,77.47000904,1.569109782,3.39414722,358.1597845,210.92744330000002,403.87103110000004,0.0,5.311042323,5.481184223,70.65011749,7.882615637000001,270.4227369,33.48311786,10.60760433
58,I3,3.0,2,1.824,21.51101343,8.79809,1.07247,0.0,60.095518999999996,252.91984530000002,62.76809977,22.45296641,0.0,0.87872101,7.593630712,0.0,7.699892557999999,42.00590739,0.0,0.0,0.0,1.114294805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0335788,152.0327257,0.0,262.3367219,80.90858726,2.2159716659999997,3.517264893,401.03327010000004,228.34021780000003,423.5137306,0.0,5.692018637,6.15883235,77.84264166,8.01809439,291.8454854,32.13963655,10.43096748
59,I3,3.0,3,1.828,21.03134031,8.79809,1.0492700000000001,0.0,47.98427433,246.69864159999997,67.38215403,23.24489928,0.0,1.02970567,8.292144358,0.0,7.925895261,44.60215388,0.0,0.0,0.0,1.112010583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0811458,151.91347040000002,0.0,267.64944810000003,80.40351628,1.7083400309999999,2.558204096,395.2518769,234.8608363,426.1305807,0.0,5.386454279,6.408484506000001,80.85957438,8.03460105,307.1581375,37.98562995,11.40778711
