,Strain,Hour,Replicate,OD600,ipoh_e,glc__D_e,ac_e,for_e,pyr_e,lac__D_e,succ_e,mal__L_e,akg_e,acon__C_e,cit_e,icit_e,mev_R_e,ip_e,dxyl5p_e,2me4p_e,5pmev_e,ex_con.id,h2mb4p_e,2mecdp_e,5dpmev_e,grdp_e,frdp_e,ggdp_e,4c2me_e,gly_e,ala__L_e,ser__L_e,pro__L_e,val__L_e,thr__L_e,cys__L_e,leu__L_e,ile__L_e,asn__L_e,asp__L_e,gln__L_e,glu__L_e,met__L_e,his__L_e,phe__L_e,tyr__L_e,trp__L_e
14,WT,0.5,3,1.088,0.0,9.643626667000001,0.862349,0.079013,697.3523941000001,435.7394871999999,127.42871229999999,43.90573431,0.0,0.0,2.368684177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.2211062999999,167.7976908,0.0,318.7368689,114.6588113,117.99317099999999,3.727729565,399.7671413,319.06717280000004,496.8883212,0.0,76.60949234,184.7895101,117.1801817,45.63971368,355.22661739999995,65.8272371,28.5615613
15,I1,0.5,1,0.745,0.774893012,9.85159,0.571164,0.0384932,829.9609632999999,255.1322329,71.72876745,40.84287362,0.0,0.0,3.850942106,0.0,0.0,3.38952079,0.0,0.0,0.0,0.258226197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.6870504999999,166.786497,1870.607369,325.3311724,132.299579,174.4660924,2.699623045,444.6409393999999,362.1927965,653.8743344,65.79238458,139.769014,256.0030977,131.53775100000001,50.94033317,371.9569254,71.72034063,34.81567115
16,I1,0.5,2,0.778,0.8334472690000001,9.85159,0.583159,0.0329503,909.7221864,322.76320110000006,71.66862163,44.56932681,0.0,0.0,2.23294138,0.0,0.0,4.935209048,0.0,0.0,0.0,0.300207542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.1763412,166.7129888,1608.0454650000001,328.5421091,131.2719983,174.69287219999998,2.158718671,457.87396409999997,352.7650383,620.228426,54.64800798,131.8317497,251.1044676,140.45265700000002,48.52691209,375.2031247,70.42900277,34.91400338
17,I1,0.5,3,0.7709999999999999,1.002483786,9.85159,0.5982390000000001,0.0408997,892.3844052000001,267.2060442,71.41858147,43.40398317,0.0,0.0,5.284207383,0.0,0.0,4.964531205,0.0,0.0,0.0,0.244739154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.8934648,168.6588705,1758.72174,329.75516539999995,130.341679,173.7278255,2.732158647,474.0160363,353.898349,643.5745041,65.05583047,133.321404,260.0263036,143.1326911,48.902416200000005,381.3697112,71.24556984,34.62657634
18,I2,0.5,1,0.836,0.6562895470000001,9.83,0.64967,0.047155699999999995,1096.979765,389.41008819999996,97.71229032,45.43402823,0.0,0.0,2.055849523,0.0,0.0,5.035861683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.1643272000001,168.4897626,786.2463534,333.97226980000005,129.33064869999998,166.1902132,2.345151364,445.1249404,350.0065993,619.0967531,0.0,121.21682460000001,220.16503819999997,137.4752105,45.52975336,372.21554419999995,71.30234993,36.86388518
19,I2,0.5,2,0.8690000000000001,0.644652449,9.83,0.704363,0.0544351,1211.7727320000001,453.970464,104.2644017,46.58131702,0.0,0.0,2.320428258,0.0,0.0,5.211911373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.3384672999999,174.0666099,378.19265989999997,334.1386758,127.67156170000001,166.2563878,0.0,420.66210880000006,353.98931519999996,602.4037487,0.0,110.91938799999998,212.3845491,134.28513,42.44708729,374.8896842,75.60372662,36.74112038
20,I2,0.5,3,0.917,0.7637983159999999,9.83,0.7970619999999999,0.0615857,1203.587126,432.75018739999996,103.5574803,49.60038787,0.0,0.0,2.801836311,0.0,0.0,5.084115798,0.0,0.0,0.0,0.08770475900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.3227426,169.3775955,477.2133169,335.2945965,126.00063059999998,162.77616840000002,2.7441746360000003,465.84036119999996,344.32109260000004,611.9266857000001,0.0,112.71181270000001,216.4459629,135.8750051,42.36648911,375.5723857,68.61605676,36.93808578
21,I3,0.5,1,0.665,0.0,9.90703,0.5071359999999999,0.0274233,794.6265752999999,251.04131349999997,80.05158684,44.89373036,0.0,0.0,2.103875214,0.0,0.0,4.962060128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.3905902,172.5246975,2314.6439219999997,341.4109828,138.2258294,185.7970336,1.894089617,497.32251110000004,376.8520724,710.6263154,48.62115145,145.3987423,298.4451316,152.7982629,43.91735837,399.1714228,73.92806941,33.94756235
22,I3,0.5,2,0.654,0.0,9.90703,0.517288,0.039193,816.1533067,253.0503536,79.90731253,46.29822335,0.0,0.0,2.300858825,0.0,0.0,5.71813206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.877953,169.6400875,2245.10045,324.727404,138.7907284,184.6948064,2.310027704,440.0326919,365.72429280000006,678.026637,44.293853999999996,134.8897881,267.6223687,144.28239580000002,41.885353,382.2710515,76.99773974,32.17816605
23,I3,0.5,3,0.701,0.0,9.90703,0.558344,0.040221,802.7706636,262.6141675,80.54848965,42.72575115,0.0,0.0,4.68593528,0.0,0.0,4.976594734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.5959627999999,168.0784295,2280.525447,332.7550124,138.08088,181.37280090000002,3.164826688,486.38174749999996,362.1759259,697.3933685,47.34101436,137.7749253,281.1847434,148.96113630000002,40.67274911,388.4263312,74.81024351,32.72478449
24,WT,1.0,1,1.445,0.0,9.47489,1.05624,0.070435,32.63316699,419.60648610000004,151.2702118,27.99094448,0.0,0.0,2.624468179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0888924999999,165.3915358,0.0,300.4385262,95.87484296,57.42254679,3.9061207889999996,358.7913733,268.5837141,363.1634531,0.0,36.57921433,99.59172936,95.6042861,28.45883299,328.6503516,58.27179117,22.86999348
25,WT,1.0,2,1.5419999999999998,0.0,9.47489,1.00688,0.0692827,57.44455674,427.4054852,159.00133259999998,30.17572567,0.0,0.0,2.89738119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.2351568,166.2377271,0.0,302.6692221,92.69778457,51.74626666,3.304212162,361.7472741,259.2956397,345.73640439999997,0.0,34.02062111,95.00216693,92.84257437,28.76295651,328.125265,56.856603299999996,21.38366483
26,WT,1.0,3,1.53,0.0,9.47489,1.0246,0.0674198,29.90936609,406.32521260000004,153.09493759999998,29.45160141,0.0,0.0,3.034781633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.6200257,167.1672017,0.0,303.1395587,91.26660207,52.01735815,3.613115515,376.43892789999995,261.9248408,372.06711989999997,0.0,33.9021273,96.19823545,94.46116243,26.562708,327.33616969999997,52.58850122,21.82128973
27,I1,1.0,1,0.997,2.528406508,9.580943332999999,0.7668560000000001,0.0495107,737.2829001,333.00480110000007,89.83954322,41.253561100000006,0.0,0.0,2.432687735,0.0,1.067552093,8.409291282,0.0,0.0,0.0,0.40543766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.1624156,165.4267259,556.0380974999999,321.80069710000004,115.96550649999999,156.7283148,3.295523678,420.430013,333.5144306,609.6500771000001,0.0,88.41673962,173.56216750000002,127.74098070000001,33.62187929,358.6202994,67.89975985,31.79700329
28,I1,1.0,2,1.064,2.5113887790000002,9.580943332999999,0.77713,0.042262400000000006,826.6930577,408.9742876,98.13633724,41.64128529999999,0.0,0.0,4.110916268,0.0,1.0503924340000002,9.346822035,0.0,0.0,0.0,0.430072952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0650241000001,165.3362743,256.8380283,318.63169869999996,112.1745521,152.5439895,1.870981945,426.8536289,316.9690692,562.7814239,0.0,82.17777849,162.7987425,125.3764254,30.796963399999996,354.2322648,65.99789969,30.64949308
29,I1,1.0,3,1.031,2.509386391,9.580943332999999,0.787842,0.054518,814.0602884,395.8807284,93.57342585,37.8789198,0.0,0.0,2.257898163,0.0,1.017641262,9.757896504,0.0,0.0,0.0,0.452330471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.9370673999999,165.6351946,402.94507430000004,327.31564249999997,114.5152489,152.97163569999998,3.634836726,448.3874199,342.7341586,587.1245066,0.0,86.42250124,175.5621086,129.5315143,32.44467527,358.75312710000003,58.82149183,32.16849881
30,I2,1.0,1,1.045,2.325140431,9.63,0.787842,0.047108199999999996,825.6660329,326.34470980000003,94.67670441,40.21250751,0.0,0.0,2.268811,0.0,0.0,9.986831147,0.0,0.0,0.0,0.14169191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.3212854,172.28032180000002,0.0,334.669369,113.9839028,137.2441809,3.07221114,426.2620491,321.2259353,613.2129211,0.0,79.18582221,140.0132711,124.5289898,28.13078428,366.50326129999996,67.80972994,34.11440427
31,I2,1.0,2,1.0759999999999998,2.612767315,9.63,0.987418,0.05599969999999999,617.7415828,459.29883820000003,110.910855,42.75018182,0.0,0.0,5.017694727,0.0,0.0,9.604261629,0.0,0.0,0.0,0.14619019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.3125808,167.81971719999999,0.0,337.03090249999997,112.2547956,128.9705465,3.243577632,445.23093439999997,331.14367230000005,574.2057857000001,0.0,73.26806663,142.4833804,125.4008511,27.09586682,366.46272139999996,60.85553305,32.00141064
