,%RSD,Hour,m_reaction,mean_area,norm_mean,norm_rsd,norm_std,std_area,strain,var_area
0,0.80489142799287,0,PFK,362.6666666666667,0.172959224227009,0.40583648171559106,0.07019316304054735,291.9072912187475,I1,85209.86666666667
1,0.6570879878226795,6,PFK,1399.5,0.2664614603496969,0.10700193476039835,0.028511891796498743,919.59463895784,I1,845654.3
2,0.4433990912931493,12,PFK,1122.6666666666667,0.24774725072639672,0.17459957178219093,0.04325656388704396,497.789379825109,I1,247794.26666666663
3,0.4438426319146702,24,PFK,1370.3333333333333,0.3169988819061572,0.06437313086273555,0.02040621050828591,608.2123532670697,I1,369922.26666666684
4,0.4897059430865412,36,PFK,1448.5,0.32876867788916214,0.16464299152674153,0.054129458647963334,709.3390585608549,I1,503161.89999999997
5,0.5068081059587302,48,PFK,1149.5,0.287686660548928,0.13605294353467776,0.039140616983343306,582.5759177995603,I1,339394.70000000007
6,0.8264249474510911,0,PFK,674.5,0.18361235878589902,0.23176213168033868,0.04255439167507512,557.4236270557609,I2,310721.10000000003
7,0.43499165152903785,6,PFK,1298.0,0.3738120380147835,0.16570338385850827,0.06194191962609496,564.6191636846911,I2,318794.8
8,0.39372689690517965,12,PFK,1500.6666666666667,0.6043358614672126,0.31646667039006027,0.1912521578758375,590.8528299557063,I2,349107.06666666677
9,0.4460313088980558,24,PFK,1680.6666666666667,0.7829192546583852,0.1262351714115866,0.09883194631323287,749.6299531546658,I2,561945.0666666665
10,0.31918070551766337,36,PFK,1746.0,0.6864556713190486,0.14479836498956006,0.09939765884480907,557.2895118338403,I2,310571.6
11,0.5294681937097317,48,PFK,2194.3333333333335,0.8519477158017343,0.18862894688957474,0.16070200043665986,1161.8297063970547,I2,1349848.2666666664
12,0.7582510837682636,0,PFK,482.3333333333333,0.16595939901364834,0.7071595954233952,0.11735978146320138,365.72977273755913,I3,133758.26666666666
13,0.3321984502162122,6,PFK,1106.0,0.2870242214532872,0.14990546608123526,0.0430264996935587,367.41148593913067,I3,134991.2
14,0.5821903652870315,12,PFK,1215.0,0.6349621113143454,0.12037505540545061,0.07643359932982623,707.3612938237433,I3,500360.00000000006
15,0.449033628650465,24,PFK,1649.5,0.7759310074480595,0.15809112370112147,0.12266780488200699,740.6809704589419,I3,548608.3
16,0.3860734172402313,36,PFK,1981.1666666666667,0.8526648016641561,0.2959015844390615,0.25230486580784195,764.8757851224383,I3,585034.9666666664
17,0.37423312560970784,48,PFK,1723.3333333333333,0.9152872444011685,0.42270260552544486,0.38689430301257854,644.9284198007298,I3,415932.66666666634
18,0.5950234124293655,0,PFK,646.8333333333334,0.10428310404127257,0.2270233594355035,0.02367470061181183,384.88097727306126,DH1,148133.3666666667
19,0.4095485867575435,6,PFK,1804.8333333333333,0.5002540767773825,0.21467612583024864,0.10739260713335624,739.1669409995731,DH1,546367.7666666664
20,0.5111836012253772,12,PFK,1851.6666666666667,0.6738233867054828,0.29991593065008193,0.20209036811756492,946.5416349356569,DH1,895941.0666666664
21,0.5682009214333268,24,PFK,1600.3333333333333,0.4981582360570687,0.3235725213999417,0.16119031649713308,909.3108746004673,DH1,826846.2666666667
22,0.3952880585511002,36,PFK,2028.3333333333333,0.568665015653474,0.03871601787046535,0.022016444908348358,801.7759454278149,DH1,642844.6666666664
23,0.46031200498816693,48,PFK,1798.0,0.5848422422205356,0.12369977570440194,0.07234485418513976,827.6409849687242,DH1,684989.6
24,0.17738076649925813,0,ENO,12277.666666666666,5.85533741356013,0.48597047838383733,2.845521123966597,2177.821924155725,I1,4742908.333333344
25,0.18970482982942571,6,ENO,39746.666666666664,7.567670485196585,0.23310775939899173,1.7640827106740564,7540.134636286907,I1,56853630.33333349
26,0.038011972081055806,12,ENO,36347.0,8.020964360587001,0.17579218828233245,1.4100228770821885,1381.6211492301354,I1,1908877.0
27,0.09266765149744788,24,ENO,34737.666666666664,8.035856112888924,0.041543563828729035,0.33383810134428343,3219.0579885011784,I1,10362334.333333254
28,0.08058252911889735,36,ENO,37375.666666666664,8.483222999810858,0.2947492173933585,2.5004233401675897,3011.8257475048676,I1,9071094.333333254
29,0.08427271813242229,48,ENO,31728.333333333332,7.940685742888129,0.31641003054530137,2.512512618457872,2673.8328918115385,I1,7149382.333333255
30,0.11473235101221652,0,ENO,16014.0,4.359330338913843,0.5601725485159411,2.4419771857722283,1837.3238691096353,I2,3375759.0000000005
31,0.29885821424020537,6,ENO,30705.333333333332,8.84285302870308,0.24724177002858064,2.186322634919145,9176.541087650252,I2,84208906.33333327
32,0.04507684558959256,12,ENO,27199.666666666668,10.953621048392511,0.2778187391194043,3.043121188456175,1226.0751744217212,I2,1503260.3333332539
33,0.30540593843335445,24,ENO,32231.333333333332,15.014596273291925,0.13378648582729533,2.0087500715193314,9843.640603624925,I2,96897260.33333327
34,0.03341101218996396,36,ENO,29945.666666666668,11.773409344079681,0.19079486265584442,2.246306018794718,1000.5150340365975,I2,1001030.3333332539
35,0.09167312585561116,48,ENO,27231.333333333332,10.57253785427721,0.3908775639135557,4.132567840863727,2496.3814478827658,I2,6231920.333333254
36,0.4030141455581748,0,ENO,11971.666666666666,4.1191650418625985,0.6682070204415882,2.752454999330157,4824.751012573949,I3,23278222.333333347
37,0.11518702203814979,6,ENO,26383.666666666668,6.8469723183391,0.07736135221707269,0.5296910371395779,3039.0559937805315,I3,9235861.333333373
38,0.15052486384296523,12,ENO,28024.0,14.645414162529397,0.4184036632480713,6.127694935387484,4218.308784335258,I3,17794129.0
