,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_e,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
42,0,B1,4,1.467628934,7.34E-07,58.92828597,1.262531569,0.207056482,0.732650977,2.884640452,8.638934221,0,0,0,0,0,7.38E-06,0,3.99E-05,0,0,0.000252664,0.000121345,4.77E-05,0.000329544,0.000471764,6.34E-05,0.000174568,0.004156994,0.000886894,1.14E-05,0.005504142,0.010977421,0.000250584,0.002408061,0,0.000163984,4.31E-05,1.84E-05,4.17E-05,1.20E-06,0.000227296,3.40E-05,5.17E-05,0,0,0,1.06E-05,0.002994991,0.000843053,0.011249687,0.001814479,0.000857632,0.00104471,0,0.001510468,0.001023102,0.005237492,0.000409435,0.000472748,0.000782334,0.007119581,0.000316572,0.000359713,0.002515944,0.003162102,0.001070726,0.000251666,0,0,0,0,5.98E-05,0,0,0,0,0,0,0,0,0,0,0.00192679,0.00026651,0,0,0,0,0,0,1
43,2,B1,13,0,0,51.50455151,1.903260606,2.151189771,1.592273535,4.356332826,17.54771024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,4,B1,22,2.734,6.83E-07,45.48878774,7.798306859,2.087568803,2.305428508,4.262437541,21.43946711,0,0.086403019,0,0,0.000133422,0.000177629,0.001673398,0.000375663,0,1.68E-05,7.50E-05,0.000349455,0.000162441,0.000474698,0.002737296,0.00031954,0.000556359,0.003040497,0.002029061,4.48E-05,0.005378256,0.094091108,0.000262061,0.009514383,0,0.000170203,5.06E-05,9.77E-05,8.90E-05,3.46E-06,0.000203551,8.24E-05,5.51E-05,0,0,0.00014057,1.99E-05,0.001072879,0.001455061,0,0.001063457,0.000505453,0.000110838,0,0.001137292,0.000252218,0.000310246,0,7.60E-05,0.001085368,0.00294777,0,0.000343976,0.002263924,0.004026279,0.00053456,0.000220553,0,0,0,0.001483823,0.000425773,0,0.000596979,0,0,0.000200158,0,0,0,0.000228673,0,0.001972286,0.00066752,0,0,0,0,0,0,1
45,6,B1,31,0,0,41.29146314,7.188397547,2.242772462,3.734058615,4.731197045,24.71973356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000484046,0,0.002070778,0.000395725,0,0.001194402,0,0,5.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,8,B1,40,3.109,7.77E-07,37.52519982,4.638101669,2.239537641,2.670615009,4.672213774,30.54254788,0,0.170526905,0,0,0,9.22E-05,0.002182511,0.000334296,0,1.36E-05,7.20E-05,0,0,0,0,0,0,0.002496771,0.001560608,3.72E-05,0.003214522,0.079346276,0.000194755,0.00478977,0,0.000130933,1.50E-05,9.73E-05,4.93E-05,3.22E-06,0.000111784,8.19E-05,5.37E-05,0,0,7.29E-05,9.52E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071883,0,0.00310796,0.00057807,0,0.002399252,0,0,0.000240941,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,10,B1,49,0,0,34.37611012,1.908332887,2.186417139,2.130162078,5.342146426,35.98667777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069249,0,0,0.000621499,0.000163759,0.003086216,0.004482889,0,0.000488272,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,12,B1,58,3.031,7.58E-07,33.07077043,0.716127459,2.087873656,0.983384769,5.403389094,39.63080766,0,0.298146508,0,0,0.000104337,8.83E-05,0.002026834,0.000190165,0,1.13E-05,8.23E-05,0.000340187,0.00015701,0.00031799,0.002094729,0.000267534,0.000300972,0.000830814,0.001076924,3.24E-05,0.000639766,0.04094103,0.000221277,0.002417765,0,0.000116914,0,0.00015574,6.14E-05,2.51E-06,0.000143146,8.14E-05,3.14E-05,0,0,8.22E-05,0,0.000696646,0.001259734,0,5.31E-05,0.000388757,0.000370619,0,0.000837422,0.000148143,0,0,0,0.002300105,0,0,0.000217275,0.001796133,0.003067846,0.000448506,0.000115539,0,0.002335708,0,0.001840092,0.000621287,0,0.001353032,0.004511158,0,0.000501324,0,0,0,0.000895112,0,0.002190642,0.000529165,0,0,0,0,0,0,1
49,16,B1,67,0,0,30.41202265,0.10567772,1.938470658,0.096248002,5.486573973,44.20349709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000270911,0,0.003815636,0.000352377,0.00023009,0.003686924,0.004101108,0,0.000703155,0,0.000300641,0,0,0,0,0,0,0,0,0,0,0,1
50,18,B1,76,2.987,7.47E-07,29.3678397,0.060101806,1.883868236,0.055277864,4.955181403,47.34404663,0,0.421253198,0,0,0.000116973,7.55E-05,0.001190287,0.000176016,0,6.93E-06,9.58E-05,0.000317318,0.000130178,0.000177446,0.001722311,0.000222019,0.000222458,0.000498848,0,2.43E-05,0.00012524,0.015638132,0.000155604,0.000738956,0,9.95E-05,0,0.000127482,4.96E-05,2.81E-06,0.000103684,8.54E-05,3.08E-05,0,0,7.26E-05,0,0.000778781,0.001243835,0,5.06E-05,0.000323361,0.000382557,0,0.000730032,0.000123495,0,0,0,0.00224445,0,0,0.000147246,0.001740131,0.002864096,0.00041589,0.000118781,0,0.000165782,0.00259192,0.001366865,0.000487781,0.000181795,0.003836796,0.004845132,0,0.000240726,0,0.000303014,0,0.001140608,0,0.001626882,0.000685421,0,0,0,0,0,0,1
51,20,B1,85,0,0,27.95104352,0.063421565,1.866694894,0.037026421,4.657723224,49.65395504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002942284,0.001447085,0.000391255,0.000165153,0.003422241,0.005318985,0,0.000113342,0.001854454,0.000264737,0,0,0,0,0,0,0,0,0,0,0,1
