,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_e,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
84,0,L2,7,0.713,3.57E-07,58.03940941,0.449774665,0.137425692,1.551576377,1.055574625,5.143480433,0,0,0,0,7.63E-06,0.000892763,4.67E-05,0.000173321,0,8.24E-06,4.34E-05,0.000160001,9.49E-05,0.000302952,0.000542593,8.14E-05,0.000286359,0.003228349,0.000697041,8.53E-06,0.002185385,0.015273543,0.000278013,0.001348833,0,0.000189243,2.10E-05,7.69E-06,2.16E-05,0,0.000174829,3.10E-05,2.97E-05,0,0,3.80E-05,5.67E-06,0.003190181,0.000879146,0.023896838,0.001747123,0.001007812,0.00115041,0,0.001859791,0.001218785,0.007028126,0.000404283,0.000553767,0.000861667,0.00630199,0.000354958,0.000294394,0.002560656,0.003219778,0.001021441,0.000242506,0,0,0,0.001025752,0.000126264,0,0,0.002429649,0,0,0.001960895,0,0,0,0,0.002292243,0,0,0,0,0,0,0,2
85,2,L2,16,0,0,53.73534636,0.225626561,0.54965196,2.76089032,2.340560504,9.368676103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
86,4,L2,25,2.213,5.53E-07,50.39764654,0.563856007,0.599624016,2.886323268,1.865607213,9.721765196,0,0,0.018734777,0,4.15E-05,0.002651481,8.34E-05,0.000182425,0,5.14E-05,0.000113562,0.000161145,9.15E-05,0.000180451,0.001585056,0.000494897,0.000341838,0.002978791,0.001171366,1.38E-05,0.000250082,0.038823516,0.000298776,0.002016361,0,0.000168154,9.00E-06,1.76E-05,2.33E-05,0,0.000225422,5.48E-05,1.51E-05,0,0,6.21E-05,1.55E-05,0.003980286,0.001261218,0,0.006589826,0.001241985,0.001338569,0,0.002004524,0.000748183,0,0,0.000105379,0.000924922,0,0.000299371,0.000407897,0.003153366,0.005247599,0.000972018,0.000267923,0,0,0.001728317,0.00161505,0.123751846,0,8.12E-05,0.002465794,0,0,0.001690397,0,0,0,0,0.001784853,0.000542057,0,0,0,0,0,0,2
87,6,L2,34,0,0,48.47374556,0.015272178,0.455805741,3.077042629,1.93258527,7.662631141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002235764,0.001054042,0.149519213,0,8.19E-05,0.002479714,0,5.69E-05,0.001367836,0,0,0,0,0,0,0,0,0,0,0,0,2
88,8,L2,43,3.196,7.99E-07,45.60929174,0.016095685,0.429060039,3.290863677,1.86,5.44549542,0,0,0.057617976,0,0,0.003287004,0.000102936,0.000271521,0.000444712,0.000121794,0.000179796,0,0,0,0,0,0,0.002333394,0.00129287,1.64E-05,0.000286742,0.044567781,0.000224467,0.001817838,0,0.000164248,1.02E-05,2.44E-05,4.01E-05,0,0.000174936,6.04E-05,0,0,0,4.83E-05,9.50E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315996,0.000981418,0.185592712,0,9.73E-05,0.001989193,0,6.43E-05,0.00142823,0.000213394,0,0,0,0,0,0,0,0,0,0,0,2
89,10,L2,52,0,0,42.68028419,0.001632864,0.354593107,3.806982682,1.949711058,4.020649459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202544,0.003954957,0.000737137,0.214908581,0,8.63E-05,0.002299295,0,7.83E-05,0.001499576,0.000174379,0,0,0,0,0,0,0,0,0,0,0,2
90,12,L2,61,3.617,9.04E-07,39.71797291,0.000500537,0.345902278,3.833736679,1.917818814,3.251590341,0,0,0.115149464,0,5.92E-05,0.004087343,0.000129306,0.000416617,0.000308566,8.96E-05,0.000291154,0.000113071,8.34E-05,0.000145654,0.001779064,0.000787821,0.000238866,0.001587756,0.000860549,1.58E-05,0.000233762,0.050166764,0.000130026,0.001560575,0,0.000114295,9.59E-06,2.81E-05,0.000145918,0,0.000155348,7.24E-05,0,0,0,5.50E-05,0,0.002583199,0.00107249,0,3.83E-05,0.000928328,4.62E-05,0,0.001325441,0.000154511,0,0,0.000108377,0.000694326,0,0,0.000370785,0.002202812,0.004678036,0.000404857,0.000146149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078376,0,0.001921461,0,0,0,0,0,0,0,2
91,16,L2,70,0,0,35.04779085,0,0.310128715,3.798967584,1.755715837,2.830074938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000673113,0.003395625,0.000798154,0.262301596,0,0.000239964,0.003465824,0,0.000109287,0.001982646,0.000169954,0,0,0,0,0,0,0,0,0,0,0,2
92,18,L2,79,3.767,9.42E-07,32.91585258,0,0.328009992,3.967584369,1.916960678,3.095220649,0,0,0.213039856,0,3.98E-05,0.003357319,0.000171746,0.000476509,0.000296095,0.000162761,0.000321267,0.000112998,9.00E-05,0.000164624,0.001763556,0.000652359,0.000185168,0.001133998,0.000770443,9.39E-06,6.98E-05,0.03485604,0.000104004,0.00172661,0,9.24E-05,2.42E-05,2.19E-05,6.25E-05,0,6.54E-05,0.000319523,2.09E-05,0,0,9.47E-05,0,0.000861617,0.000412175,0,2.91E-05,0.000505055,0,0,0.000596676,1.39E-06,0,0,8.90E-05,0.000338265,0,0,9.18E-05,0.000433904,0.002142405,5.22E-05,1.82E-05,0,0.000849753,0.003624189,0.000890585,0.278958738,0,0.00033695,0.002506579,0,9.96E-05,0.00122499,0.000170715,0,0,0,0.001423934,0.000779584,0,0,0,0,0,0,2
93,20,L2,88,0,0,29.82404529,0,0.336895588,4.147935169,2.186313274,3.235886761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000909275,0.003827267,0.001255764,0.294473796,0,0.000552074,0.002620753,0,8.77E-05,0.001564983,0.000162281,0,0,0,0,0,0,0,0,0,0,0,2
