,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_e,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
28,0,I3,3,1.472660498,7.36E-07,58.82715364,1.502550182,0.130536879,0.722447824,1.756387139,8.610824313,0,0,0,0,0,1.44E-05,0.000307744,0.000338049,0,0,0,0.000171623,5.68E-05,0.00017098,5.25E-05,6.36E-05,0.00015142,0.005843841,0.001152355,1.65E-05,0.003008531,0.010708674,0.000207923,0.002793847,0,0.000145028,4.89E-05,2.25E-05,9.33E-05,1.48E-06,0.000224941,4.32E-05,5.63E-05,0,0,0.00010009,5.43E-05,0.002199901,0.000788865,0.004088938,0.00139355,0.00066577,0.000858989,0,0.001250146,0.00072479,0.004345012,0,0.000345398,0.000281288,0.005345117,0.000216838,0.000109033,0.001932792,0.002199512,0.000945131,0.000232762,0,0,0,0,0.000460018,0,0,0,0,0,0.012344754,0.000657644,0.000138317,0,0,0.001704391,0,0,0,0,0,0,0,12
29,2,I3,12,0,0,52.74694716,0.043837554,2.032288932,1.016237789,3.252139909,15.02206495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
30,4,I3,21,2.731,6.83E-07,47.25727131,0.042576561,1.976712677,1.271714032,3.238518358,18.08026644,0.89452992,0,0,0,7.68E-06,0.001104845,0.000623555,0.011552733,0.006718619,0,0,0.00031755,0.000140257,0.000343198,0.001778177,0.000209859,0.000279537,0.004495856,0.001993045,4.25E-05,0.000412424,0.029797839,0.00034463,0.006241713,0,0.00022772,3.13E-05,8.38E-05,9.48E-05,3.87E-06,0.00032561,7.39E-05,0.000340164,0,0,0.000308009,4.51E-05,0.002048681,0.001003862,0,0.00059473,0.000699005,6.95E-05,0,0.001580706,0.00037102,0.000479865,0,0.000289772,0.00094063,0.013229957,0,0.000573194,0.002916678,0.004959992,0.000803652,0.00031028,0,0.00290129,0.129869886,0.004242487,0.028500888,0,0.000465227,0,0.004643005,0,0.012878339,0.001399402,0,0,0,0.001583505,0,0,0,0,0,0,0,12
31,6,I3,30,0,0,43.55916963,0.037290677,2.022643746,0.983454707,4.250315012,19.26677769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002035081,0.112717477,0.006061652,0.042345613,0,0.000888664,0,0.005423568,0,0.011869214,0.001274192,0,0,0,0,0,0,0,0,0,0,0,12
32,8,I3,39,3.436,8.59E-07,39.60290853,0.024433693,2.067050555,1.01589587,4.798392353,17.90457952,2.692730338,0,0,0,0,0.001672045,0.000869716,0.0115833,0.005611453,2.31E-06,0,0,0,0,0,0,0,0.002825099,0.001418486,2.63E-05,0.00017854,0.0323546,0.000239569,0.007357237,0,0.000164279,2.41E-05,9.65E-05,0.000108458,7.29E-06,0.000308341,8.44E-05,0.000351267,0,0,0.000857446,2.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000541755,0.0792499,0.007923716,0.063337165,0,0.000846481,0,0.005392426,0.000818603,0.010768431,0.001406147,0,0,0,0,0,0,0,0,0,0,0,12
33,10,I3,48,0,0,35.47818606,0.030121031,2.118655263,1.186511989,5.61996524,16.27740216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908246,0.090052341,0.010847604,0.080112243,0,0.00085388,0,0.007275545,0.001542025,0.012830881,0.001828557,0,0,0,0,0,0,0,0,0,0,0,12
34,12,I3,57,3.676,9.19E-07,32.13815497,0.016739053,2.100279448,1.158503552,5.376689116,14.77517069,3.907831789,0,0,0,8.37E-06,0.001764374,0.001283674,0.012836441,0.008257724,3.87E-06,0,0.000419324,0.000174573,0.000405782,0.002115674,0.000244341,0.000353338,0.002063731,0.001236492,2.44E-05,0.000198704,0.057300364,0.000266307,0.008910262,0,0.000196151,3.42E-05,0.000115897,0.000139962,7.11E-06,0.00023502,8.60E-05,0.000324636,0,0,0.002758512,0,0.000329552,0.000842877,0,0.000515554,0.000426437,7.30E-05,0,0.001574049,0,0.000576231,0,0.000349302,0.001164774,0.014099471,0,0.00060963,0.002627331,0.004169352,0.000712779,0.000163832,0,0.00082696,0.091399475,0.012855916,0.089160964,0,0.000775498,0,0.008743002,0.001555654,0.013759046,0.001915317,0,0.000243859,0,0.001138923,0,0,0,0,0,0,0,12
35,16,I3,66,0,0,26.4776865,0.01861767,2.010458125,0.877758659,5.777818814,12.49155704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000827018,0.111224608,0.016774,0.10403746,0,0.001000287,0,0.012286456,0.001946865,0.013762415,0.002121919,0,0,0,0,0,0,0,0,0,0,0,12
36,18,I3,75,3.522,8.81E-07,22.1660746,0.008213184,2.057557795,0.918595693,6.524961981,11.26914238,7.480932788,0,0,0,6.21E-06,0.001820366,0.001908672,0.011320562,0.008002499,2.26E-06,0,0.000356356,0.0001805,0.000389972,0.00240044,0.000326856,0.000275773,0.002347958,0.001348191,3.29E-05,8.61E-05,0.050066965,0.000270294,0.008966237,0,0.000204443,2.10E-05,0.000127567,0.000199768,1.00E-05,0.000183535,0.000105058,0.000168004,0,0,0.012209859,0,0.000449351,0.000754522,0,0.000477953,0.000362611,5.55E-05,0,0.001385764,0,0.000564716,0,0.000292988,0.001097527,0,0,0.000451403,0.002533079,0.004140602,0.00073243,0.000162621,0,0.000780485,0.114838833,0.02094745,0.113870548,0,0.001092036,0,0.014115764,0.001944797,0.012379847,0.002927698,0,0,0,0.001107146,0,0,0,0,0,0,0,12
37,20,I3,84,0,0,16.68222691,0.013370395,2.016351935,1.168516874,6.292439713,10.27585346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076387,0.115473127,0.02169909,0.116717786,0,0.001307875,0,0.014798777,0.001662421,0.012503341,0.00303359,0,0,0,0,0,0,0,0,0,0,0,12
