,ACACT1r,BISS,HMGR,HMGS,IPDDI,GRTT,LIMS,ERG1,NudB,MVD1,ERG8,GND,FRD2,PPC,FUM,PFK,SUCDi,FDH4pp,ICDHyr,PFL,ACKr,ENO,PGI,PGK,RPI,SUCOAS,TPI,TALA,FRD3,FBA,GAPD,FBP,PTAr,PDH,ACALD,FHL,CS,G6PDH2r,PYK,AKGDH,PDXPP,PPCK,PPS,ACONTa,ME1,TKT1,ACS,TKT2,MDH2,ACONTb,PGM,MDH,ME2,YPL069C,GLYCL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.768146864665163,-0.11211036632153717,2.9207804871616667,5.594717271187438,-0.8345763907926282,-0.314803660453981,-0.3293076252529599,1.2953032093061347,5.758936624903157,4.627794771790265,2.1574340572591155,-0.3581770565490511,-0.4276131288981913,-0.11535067077357719,-0.019394039514762706,0.058133894709554546,0.06642385620955349,-0.3525164147207853,0.40871810037694256,-0.3037761997359248,-1.0482090930426198,-0.269776959605004,-0.25186247710915044,-0.37388894366520004,-0.5783832806948643,0.1867960607271709,-0.2153415670450404,0.10442673075369258,-0.38851350677244295,-0.3496053330287676,0.437589749063038,-0.8924619379591384,-0.645986090818027,-0.6166627406795331,-0.06617050231806867,-0.22383046082251914,0.8312005537003678,-0.1255955870842461,-0.46004211702091347,-0.2666204815618351,-0.08658768499609067,-0.6456094411834958,0.15362318911321193,1.0074945365469241,0.47321414306870085,-0.731129851784079,-0.38956681176272573,0.25222765087721094,-0.24603815151134545,0.32085816571395,-0.5696293951121182,0.12405016738901337,0.026889718249038914,-0.7513208871432759,-0.6166627406795331
8,7.980107235897065,0.2243172982609401,3.2745891488434706,5.818668621907066,-0.36642755505422203,-0.7609710571769955,0.3160274934476781,1.5711567011961254,6.270560539695854,4.871711113898944,2.4829817691241276,-0.7104058910653424,-0.643160747466301,-0.10062081466329197,-0.21996815702387462,-0.16452519420932893,-0.3225944631878739,0.46948528330122047,0.036929269788289795,-0.7679917866452282,-1.4493074013635898,-0.646220699491737,-0.8227301479445199,-0.6447626164979796,-0.8890521444798462,0.020950126306217107,-0.6000441250072068,0.04000582914177597,-0.9476503305952019,-0.7016384990925388,0.05021259466994017,-1.2416236528809987,-1.0353383800255576,-0.9088151704374332,-0.29085638496227384,-0.7809605399475515,0.7447200041139634,-0.4912749242260764,-0.6426453440679856,-0.6444537143514889,-0.8410104762388433,-1.2079555628373035,0.21775352653292757,1.0179219079972623,0.5729649676215632,-0.8225942938843318,-0.2919560151363035,0.5173697196729958,0.021001958609810648,0.08631920051163276,-0.627931481798555,0.223585840939928,-0.144829520838809,-0.4882864813094825,-0.9088151704374332
12,8.159300160905186,-0.5126482959052661,3.2912695815836845,6.057975449651864,0.1411760629606945,-0.866397411589969,-0.5703157247567548,2.125745552873763,6.655454386007572,4.971980530626971,2.7246314561394476,-0.7037719960809465,-0.4732357460239886,0.11313897535073494,-0.08583983303231915,-0.07462603948273777,-0.3424232698081099,0.4983401459734053,-0.011588836164307571,-1.0646950068330794,-1.4309288720487352,-0.5323568941921892,-0.6662256622645294,-0.6008338933640383,-0.8809123303259392,-0.00348379089566574,-0.31982919286772604,0.18184260697507976,-0.6867465546688948,-0.8385808704345494,0.11582850521126557,-1.2220180297698127,-1.366041982001072,-0.9387395338001596,-0.1336182907111515,-0.4729706412787982,0.9014122207281845,-0.22025878273080823,-0.5017745211185567,-0.5861614564603462,-0.21076709621682072,-1.4225576528150543,0.40078351559860204,1.456149034647996,0.3625700793847084,-0.8754864436812677,-0.5904795056887222,0.6176072638487431,0.2222419860363132,0.17575361275053955,-0.503577232568612,0.41016501635433666,-0.17515405769560669,-0.33628338786443235,-0.9387395338001596
18,7.871260164246324,0.2585330135988532,2.3537607910989733,5.883230964624185,0.013420515762321757,-0.8873824367193045,-0.36678233067162275,2.1266897250546415,6.389639132241255,4.706052908036067,2.791275182389742,-0.8967405789368844,-1.069832947228548,-0.12111981030155082,-0.3573295379744459,-0.30392366713185875,-0.6391809476859374,-0.051346880000220425,-0.3320094125854628,-2.2721454565335475,-1.8398918569178946,-0.8899133830245254,-0.9110385660721803,-0.9665993119085534,-0.9365638933433119,-0.36246130575827556,-0.5348331664513057,-0.23784912463602995,-0.9975490303185994,-1.1106294031219224,-0.3584978879012892,-1.4996360418029124,-1.5002406648765163,-1.168503435917719,-0.48875118225111563,-0.9398854396240645,0.6207058948457148,-0.5578175293319348,-0.7429852999506665,-0.9594062745936198,-0.6865005271832183,-1.6456094411834958,-0.10069399961947291,1.2903260975015336,0.39359697500533264,-1.201443192426772,-1.4187131574222422,0.4353499547011002,-0.026958016820642024,-0.2815433718415531,-0.8326298036766824,0.0315158091916421,-0.5498988510264171,-0.4882864813094825,-1.168503435917719
24,8.167115136219715,-0.1415541442140191,2.2109537486016007,6.135197779159692,-0.041027268260054796,-0.7274741451889085,-0.06012099243757075,2.4724877714627436,6.604014484870354,4.788510645242764,2.814886281306221,-0.8830675203643227,-0.6562564050779843,-0.03535817459277943,-0.36377764681096125,-0.06517649307682544,-0.4467721616341977,-0.08305573972755852,-0.07479391871308273,-2.403568557753469,-1.7660428270306299,-0.796482271631847,-0.7871062382137985,-0.7876139381800477,-1.307724147603454,-0.3276895152601259,-0.43410009129037497,-0.0576870830190368,-1.0308659552199468,-1.0347628274782004,-0.06276641577150942,-1.4833571410032194,-1.2564574966685003,-1.1603886171858275,-0.3991014015869376,-0.4712628428707979,0.8594352672773433,-0.4556998193207481,-0.46520723583878054,-0.844468639724956,-0.8920846608331124,-1.810493825925278,0.16089118957725132,1.4929213637171659,0.45371796744290377,-1.0707325951431002,-0.989028882178997,0.7451249270554663,0.1183976016042732,-0.4372504340500219,-0.636574287129337,0.13562663840209227,-0.26763497371257067,-0.7755684333899535,-1.1603886171858275
36,7.9721182183841375,0.09142302776359489,1.9325805902816688,5.986816736764592,0.026717338375779418,-1.0853218143312136,-1.0911478880581953,2.4040467153608676,6.48467860019552,4.6163628337225315,2.682631413121958,-1.017753491122035,-0.7189921604259467,-0.16216295966527158,-0.9639678054532408,-0.34437797432503336,-0.8183902420849369,-0.3916870120014632,-0.4858971503754557,-2.6862458365583377,-1.8986592651677685,-1.0582076105033162,-0.8592560239696339,-1.0289339935699862,-1.6628729694555173,-0.4112829331141815,-0.7122402515407843,-0.24821959419297876,-1.1700567419412768,-1.309468453985898,-0.3226538115945043,-1.8410170671602948,-1.8323187271239125,-1.3020887591901458,-0.5592969931450953,-0.7598260095448027,0.696093312750678,-0.5662236422089992,-0.7281180706462476,-1.0535386061385408,-1.0426443374084937,-1.8807537699287917,-0.016301812329100378,1.2288186904958809,0.12029423371771204,-1.442371565200648,-0.23900713518734437,0.473069620650259,-0.12157670711972178,-0.8111423823585979,-0.8456297328560768,-0.115923449354092,-0.49002739504901854,-1.8002304876242228,-1.3020887591901458
48,8.257120948779969,-0.1415541442140191,2.23595986889409,6.3817466625948605,0.2127293239857284,-0.7133530369442558,0.3394864662716671,2.9512680603826347,6.869927816090547,4.9891074633840455,2.8528254385717795,-0.6855985232935794,-0.488769624667075,0.23492076962487993,-0.21474087966431088,0.06517086016604462,-0.33116652314264394,0.44745897697122117,0.10260326241671722,-2.525649687554567,-1.4939182880638815,-1.0028801273590338,-0.53363344552453,-0.6228110958652722,-0.9863478689436802,-0.14576984555488393,-0.38730012942215075,0.23109171611422266,-0.7603172821148106,-0.8517350544626017,0.1899783580687189,-1.5105163011723177,-1.2316024670408534,-1.0556218798478922,-0.188756314420042,-0.45053710861668655,0.8682925777618584,0.0943544103599165,-0.3050014804274452,-0.7120089467128826,-0.3918797782915916,-1.594585438159029,0.3154294575886204,1.4692347936676557,0.3660506481196702,-0.97467233057975,0.41778811029487867,0.8717259783456466,0.10243646109250194,-0.5754075483110392,-0.47751829922660277,0.306172258919402,-0.20612970759947263,0.08325550364935229,-1.0556218798478922
72,8.319518756958237,-0.08325550364935222,2.315075780208226,6.547250014818104,0.24721770037101892,-0.6402895747545325,-1.4447848426728958,2.8760608249728263,6.934061176024474,5.051248214495464,2.8223785283861407,-0.5623627340273292,-0.4257431415451453,0.28376584741788036,-0.08314780418785085,0.1327084326929146,-0.41138948299173733,0.3479233034203068,0.04181712214236878,-2.4056236792418586,-1.4493074013635898,-0.6384775774217597,-0.4269818197654863,-0.5990617582181234,-0.5607934364757989,-0.10142491907585961,-0.36858382315239174,0.2622977730759032,-0.5382327903080028,-0.7682130342838192,0.13912884252779223,-1.4764740598734756,-1.2591661945152752,-0.8123414613345832,-0.09340679575012337,-0.2832957445364795,1.1187193529048496,-0.08879796955695694,-0.2475402756141038,-0.6248651961155737,-1.178705886984522,-1.5990485354257546,0.36661691244741046,1.8471617719204056,0.5239515051456196,-1.0366921206200381,0.7012866186883879,0.9529454789065647,0.31288235323037017,-0.6080366471138929,-0.42747910475991124,0.2711079978521973,-0.021030912376187365,-1.1987798641144973,-0.8123414613345832
