,ACACT1r,BISS,HMGR,HMGS,IPDDI,GRTT,LIMS,ERG1,NudB,MVD1,ERG8,GND,FRD2,PPC,FUM,PFK,SUCDi,FDH4pp,ICDHyr,PFL,ACKr,ENO,PGI,PGK,RPI,SUCOAS,TPI,TALA,FRD3,FBA,GAPD,FBP,PTAr,PDH,ACALD,FHL,CS,G6PDH2r,PYK,AKGDH,PDXPP,PPCK,PPS,ACONTa,ME1,TKT1,ACS,TKT2,MDH2,ACONTb,PGM,MDH,ME2,YPL069C,GLYCL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.754326120374646,-0.04306872189188598,0.5257193327276959,4.997834332781886,0.7303929402427198,0.13087222487853753,0.21572869105543724,1.088437964667584,6.745969668846148,5.940762222269979,1.2514136362407893,0.10399142919973904,0.4009755906665707,0.8916378743872404,0.5829262064223576,1.4458630116873503,0.585137478224318,1.1555697084652425,0.9533694165533821,0.6700079056856016,-0.5300667095401798,0.9464249447033655,1.108996002799981,0.920882130949604,0.5241760840345357,0.9489897592139916,1.0836708824408166,1.559060105856632,0.7257946632243341,0.5250503380726579,1.1771444947363205,-0.2189228813180659,-0.13978982118194894,0.156128745791941,1.5073261456825575,0.29021082532930514,1.9081106337707747,0.5821438185333182,0.39748910185679087,0.4248075972490642,0.5279315556847772,-0.055059017790316724,0.6009926105401052,1.5663468225538093,0.8707169830550335,0.3275597145570029,0.42939279225591387,2.1746956793051515,0.8570271471319075,1.169665173428843,0.8276440649166302,1.3378977707144355,0.6841592349915526,0.5267478867758606,0.156128745791941
8,8.643462122609078,0.3388019134517587,-0.37177405804951086,4.8814688536587525,0.8981203859807865,-0.2519465383499763,-0.047305714778356635,0.9845190132109914,6.652917147235791,5.7875880847949865,1.0364476705749854,-0.12916023883880626,0.12447721567088764,0.6695121003190663,0.4032072438161026,1.1405499160072066,0.22182864934703522,1.1033397496926847,0.6935505284865833,0.20411730609729534,-1.079795933151671,0.038375806704737364,0.5921759909537307,0.5138636747774898,0.4293376371435083,0.5466488800136008,0.7425953919347434,1.367606275691843,0.1654958385693616,-0.012973015177937863,0.5305367171340154,-0.7680518572849436,-0.3249050511704341,-0.39287584935468506,1.1862866120438562,-0.34313477273548093,1.4480691250204463,0.265066701291667,0.03915404038370994,-0.10115635802716012,0.3638121759236707,-0.6452187225763535,0.031884061019786004,1.5319812090349845,0.555215157327104,-0.13683421497389017,0.7253776198909943,1.9960849499966167,0.7677206058978798,0.7155506983603998,0.4032877880252502,1.0316506759826634,0.13389435501848562,-0.04975303519709945,-0.39287584935468506
12,8.838833153530771,0.3219280948873626,0.06726466310879473,5.113033665299891,1.6066575718204752,0.18835771953929747,1.2552570552420748,1.220360456154219,6.828486367232799,6.049666457044771,1.1240181582288835,0.031522201172552854,0.4023424264304767,0.8222615440347136,0.34991549242353315,1.4173467778687552,0.11636192158492964,0.8012201358855027,0.7035796573119205,0.09064041221183024,-0.7980593363050421,0.481704967273532,0.7568948700132577,0.7015172745969316,0.2919401838238787,0.7318684149728447,1.1853072083770648,1.5234789993821933,0.30674720107003334,0.10419063056423174,0.6698616128371804,-0.45997250807940904,-0.3769911980146309,-0.1253278714536936,1.4718027094462187,0.03132444768283508,1.6347465666230137,0.3849234516718456,0.2729202438478437,0.09304175340212766,-0.1532462602956821,-0.4988354635707026,0.3427327100266588,1.7681843247769264,0.767265634442093,0.08855944530821776,0.6291623046316912,2.213147038429017,1.0034920570355277,0.7356045208818338,0.610990793526821,1.156232578883417,0.19378841048742015,0.09463687413807527,-0.1253278714536936
18,8.709735465771093,-0.38702312310924714,-0.07612780769045939,4.8571848057912,0.44745897697122117,-0.1534307977089076,-0.047305714778356635,0.9196265835359799,6.734668009424135,5.805890640076677,1.0997024976770124,-0.11506496686966503,0.1376676622154273,0.6966289096469097,0.4807609276399184,1.190465610903087,0.2948112811575501,0.8809473283562366,0.495189128802566,-0.028799529840793224,-1.1858917498473787,0.3842279675689066,0.5966661752222566,0.6240465925279126,0.05622513630353386,0.5268723831115136,0.8379475295074817,1.4430380800098128,0.23930465729012163,0.1731084545065571,0.5569252250493948,-0.9097721655327589,-0.6521160387499733,-0.26526941021710215,1.1775705652817599,-0.09391912099786764,1.5276953000483058,0.14711387199519121,0.09306780898367153,-0.056779266570586705,-0.3247267282400358,-0.5631115999254583,0.055343033843774835,1.6371821838514153,0.4642414972796136,-0.08976596131711127,-0.0995356735509144,2.0480622407741347,0.779248840011138,0.5424669528298551,0.4634140057511158,0.9627518825910518,0.06849993704747985,0.4749089552562425,-0.26526941021710215
24,8.752865504578256,0.16046467219324612,-0.19614895025534343,4.987684677566761,1.1987798641144976,-0.052308873266041625,0.6003925412907622,0.8911701374867518,6.716981533397651,5.864664646040633,1.1501876343876747,-0.09829927513404577,0.13930802059668265,0.6935729986528254,0.2564357443474539,1.0323826694246199,0.1780744314389263,0.3530157726714594,0.43331849081110674,0.23189248885825478,-0.961207517002941,0.4086221971441869,0.5822481160241202,0.5392053172834426,0.10500386190611094,0.5919399637745145,0.8389761891167578,1.4361903382771033,0.14044455447793416,-0.0398258721919969,0.7674304053280723,-0.7518411184387548,-0.5395928503347556,-0.28463473508403336,1.2884075883912538,0.18127912406288368,1.3303254325116076,0.16898605247269716,0.16600350068391828,0.010267682958943794,-0.11640949211531049,-0.5772656942353187,0.42907355896570515,1.4054687904300656,0.5829983138406422,-0.06254449258208698,-0.03899413161586358,2.139634536014632,0.6710224060217334,0.5571328935433777,0.4327454817548847,1.0062700728236724,0.1964526680144762,-0.02466205423426924,-0.28463473508403336
36,8.698719255731163,0.6674246609131292,-0.37091760504668597,4.916285546346055,1.1552782254779108,-0.1774362607196969,-1.1468413883292712,0.9196265835359799,6.620296152917948,5.887284242983925,0.9993742376649285,-0.23051591741341773,0.13438133951675618,0.47535536913996174,0.2637826869189707,1.053868531160025,0.196706201740499,0.6816385201328299,0.36693073827449896,0.2361919143475427,-1.0691800277024954,0.2955583993574142,0.5183647519921326,0.4532373158259891,-0.0179765843313152,0.5506137272322433,0.7204394145268829,1.3967675247064995,0.03840488259453859,-0.1209519047485349,0.7557055703857004,-0.6669786867363404,-0.5843503801884995,-0.3260282514902338,1.220067773407768,-0.037505855136538944,1.51237450076455,-0.042869629435533484,0.11139880683559408,-0.03597595329013568,0.34632474919482964,-0.7068662406282245,-0.020291403993076156,1.6135769857602658,0.5350372753894737,-0.12218743900948868,0.12873331412220304,2.081701732081583,0.6787868774775914,0.39054493927584816,0.42103431057286345,0.9350231223157752,0.22282808343877375,0.40275916950040713,-0.3260282514902338
48,9.105732476231625,1.0105692417101872,0.23585497397377567,5.368489000645104,1.5958508168638923,0.258031247346109,0.6003925412907622,1.293216798245835,7.1551670572060075,6.260407092249084,1.5249213733040914,0.3095935456502854,0.45202599274392785,1.0409717810563062,0.73854475821549,1.4506429690345781,0.5192011208697825,1.4398206002087321,0.7771602022737297,0.6258151642717481,-0.5476429071229727,0.8391119205607318,0.9348215283563104,0.9785617933746957,0.16935906455207547,0.9490237031239088,1.2741808589083345,1.9099603365716908,0.614357982397729,0.38449817824527904,0.9281316111790648,-0.5991737186532895,-0.05440190315162163,0.10927947262905653,1.7196801904048973,0.62220679137328,1.9423358765962533,0.4842194947860512,0.5071363811627321,0.3712165116835675,0.32862274746137066,-0.36946080912191714,0.4110019860436872,2.066917135984593,0.8803456842528102,0.2881583649446331,0.6780719051126377,2.539957354696126,1.252053582812274,0.9223812392318672,0.8508513093211535,1.4627072784031359,0.6378655827176176,0.576788569275456,0.10927947262905653
72,8.696295465583523,0.4974996594708167,-0.23146948598833483,5.03738222200308,1.2270689085459212,-0.01722641411059627,0.40335569423120865,0.8245120432541215,6.720805126462223,5.998014611388863,1.0737815954993621,-0.17163588707578065,0.24821258409313263,0.5346191150315163,0.4094168130424272,1.1257116964360017,0.21475217759863183,1.1935375586642627,0.6810772731234129,0.31981961050433094,-1.0050496902827797,0.20504772894613732,0.6100534816839867,0.47406266671951497,0.39573731125672906,0.5598528334376978,0.8039348610938976,1.4467588529158124,0.06586287355188059,-0.038831317537588755,0.6796262351337296,-0.8821274078692676,-0.5342544012918891,-0.23122845050182303,1.1882163809791106,0.16659271702245923,1.48352936182106,-0.13881822348111914,0.16439032023675892,0.010532501959159455,0.022195746114196196,-0.5949844200562169,0.21315174897003078,1.6983039737971013,0.3942789391120465,-0.1489777398970237,-0.4214637684382767,2.0280707655866683,0.6119373963061989,0.45709148018278073,0.4262424752609587,1.0694026574570101,0.12553088208385882,0.8038574778213772,-0.23122845050182303
