,ACACT1r,BISS,HMGR,HMGS,IPDDI,GRTT,LIMS,ERG1,NudB,MVD1,ERG8,GND,FRD2,PPC,FUM,PFK,SUCDi,FDH4pp,ICDHyr,PFL,ACKr,ENO,PGI,PGK,RPI,SUCOAS,TPI,TALA,FRD3,FBA,GAPD,FBP,PTAr,PDH,ACALD,FHL,CS,G6PDH2r,PYK,AKGDH,PDXPP,PPCK,PPS,ACONTa,ME1,TKT1,ACS,TKT2,MDH2,ACONTb,PGM,MDH,ME2,YPL069C,GLYCL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.592764200614947,5.39231742277876,2.316133518705734,4.279425811782377,2.8271386897848094,2.777604528823019,0.15200309344505006,4.933517097653873,-0.007694391790000598,4.126032482244545,4.296468109896408,0.03126087794763931,-0.1610726026908965,0.7668734486775806,0.5011429153653884,0.7879579719431464,0.2073560770120639,0.5771851501294369,0.23143869754941243,-0.5035975135833624,-1.0201522583966258,-0.26933227867295434,0.19360399791182287,0.007219738108905456,-0.12868544468796977,0.5186497660235818,0.918435390140347,1.0958008094879232,-0.7447609222574304,0.2392211225982867,-0.1377985278882729,-0.6311950649097817,-0.851292002928748,-0.4081675099117993,0.0669329413773776,0.3732654784188962,1.4992375215757359,-0.03076865472478104,-0.06273379530115043,-0.012075552581270946,0.250961573533219,-0.6879111171483602,0.725952601443788,1.7958592832197746,1.017367131970088,-0.18573331401965784,0.9569312781081141,2.644243438479476,-0.12849149367267282,0.35596905460264144,0.07653459472509,1.2699136530219208,0.13750352374993502,0.6629650127224292,-0.4081675099117993
8,4.621951496446643,5.7645700555608075,2.710007160673495,4.598637437618232,2.985576344493271,3.0237567439480073,-0.16992500144231262,5.306505073689776,0.2463110482426674,4.520122759784348,4.649565185980433,-0.0022291767500498692,-0.0633673327628243,0.8276149391079467,0.7030262240920907,0.9547656674584937,0.2919034674084122,0.32192809488736235,0.198314701658782,-0.7209059778828772,-0.9981818585610206,0.07797706988786285,0.3116597594335354,0.09154267659129217,-0.23460953049154593,0.4880594155901603,0.9996681552507761,1.2480254372867863,-0.6674158800595329,0.367064263163235,-0.013358171782419876,-0.45491940312992296,-0.592659921426247,-0.432589312228046,0.24265229186851645,-0.04914686535866634,1.669728041837131,0.18380072869426958,0.12354911913844557,0.04179051548466476,0.3103401206121505,-0.8151999388918877,0.7652120318910152,2.1804115086308036,1.0247466623356856,-0.13335249306554578,1.2962414512237128,3.037040168065225,0.0426918550285598,0.3225244346874781,0.040166576620793315,1.3450753401510664,0.20833888504754094,-0.12553088208385882,-0.432589312228046
12,4.571726673564462,5.655286770551129,2.768575200683028,4.642383300375849,2.997479239230119,2.9564753940384096,0.7686744538935442,5.303946005341189,-0.4671260104272981,4.499457166374099,4.677776132827908,-0.1642284084313809,-0.10304565745486034,0.7777800569996878,0.22518135226442948,0.787491013754419,0.21121182787943066,1.3125902303080261,0.04079049394633081,-1.113105512551676,-1.5463686678996167,-0.09386692346422233,0.18124919648284354,-0.004600567878776938,-0.3637379174865167,0.21402589174357217,0.8022265161433348,1.1548428150351189,-0.931303331474124,0.08394694035553779,-0.07030083841156505,-0.8894753725852429,-0.7623131280543242,-0.684282991179586,0.1589280574019728,0.136131621962759,1.4836268331240312,0.06603377827215536,-0.0772567477338997,-0.2118697770594308,0.2630344058337938,-1.288927198318612,0.8528647139260078,2.1429579538420427,0.9646256698981148,-0.2880861173476566,1.1979393776119087,2.9055990153603117,-0.09751147260808066,0.004652358242890796,-0.1231557459495744,1.1646042475358174,0.015375225886915811,-0.12553088208385882,-0.684282991179586
18,4.449968334399295,5.600588735870556,2.908310271731546,4.6710969199972014,2.911637392571383,2.9320159026077386,0.917537839808027,5.580944892224181,0.38204908732493315,4.680150436749785,4.733227835579141,-0.24705767594126857,-0.13247513431750096,0.7460443686632332,0.22913448947192716,0.7755085279391357,0.27761827488509216,1.0681715026415792,-0.015100192386535342,-1.2752295948583379,-1.6311770557039782,-0.08640580006946007,0.1435370006252084,-0.0771908039634458,-0.1412214927353975,0.22071255560342917,0.8523407136390425,1.2431943400957235,-1.2173910138804924,0.0891001056047038,-0.19914914453452306,-0.8879603993677767,-0.6712668797819934,-0.6587818732165203,0.1718569669682394,0.3039895930783787,1.5791945968228458,0.2620440539562982,-0.012581917623149311,-0.17756620760620853,0.6870606883398922,-1.3932957201247773,0.6787574337740936,2.217700726011726,1.0198311719215691,-0.4732207635779906,0.6540041451508075,3.0482034108031124,-0.07595663448714288,-0.1989429687036939,-0.043513547357859506,1.0865253094583016,-0.047133975591095056,-0.3048545815284209,-0.6587818732165203
24,4.415654959181651,5.6585360850798345,2.740385655129913,4.614048732834928,2.865032793879388,2.843170098104153,0.9455522159776235,5.400763549405553,-1.0788554207112397,4.55433552708943,4.6652323147463415,-0.34621575476624566,-0.19024842087961982,0.7180057937123705,0.20237004370153078,0.6656652113710869,0.09064180676198084,1.2601228104138908,-0.11757920398791281,-1.5027864791531833,-1.5758946202027888,-0.24578403728882392,0.00127841837420727,-0.18920921331898788,-0.004353183477731476,0.060924670304488934,0.7601376863225974,1.0679600047241522,-1.1333134869279593,0.0097262552381264,-0.2651870520336721,-0.9977212825336249,-0.6152689605355974,-0.6315883464332162,0.08652433650392936,-0.023143389401397745,1.4639381053736424,0.017711056693185696,-0.07895741490946412,-0.26338869918650687,0.7655347463629772,-1.6326855412301895,0.4885580167680938,2.2456247275741648,1.0586939942590232,-0.5398418146561699,0.945960160287111,2.9036594743455058,-0.12158412663673195,-0.34897427448671303,-0.2072288575679756,0.9992288489575563,-0.06858708525741244,-0.1443899093351748,-0.6315883464332162
36,4.492731182200293,5.753368715792135,2.7852282717845362,4.712393642104095,2.842514074915222,2.8703909948655677,0.9730329523997305,5.513021931584869,0.5486989567343844,4.792786633782822,4.813351169429714,-0.3150533106791497,-0.181433556139576,0.9059243356780077,0.13918402553464743,0.7365190501562353,0.26333964489162853,0.4208431209600497,0.023986556892051394,-1.3701560151566627,-1.6339975747663569,-0.21473884879301272,0.06012099243757093,-0.19541162672988457,-0.3530872873584122,0.1258335238148768,0.7196076471243095,1.1313783262128514,-1.2913997890019582,-0.030014297086966686,-0.14676359509158282,-1.1864241392210408,-0.7116484021872622,-0.7809562715508462,0.20651129056770057,0.22654762910342904,1.518704656191193,-0.05988404093106428,-0.047782188841994824,-0.2449668381180504,0.3103401206121505,-1.5818363997344367,0.5831328301640738,2.2820353677638496,0.9440153902228285,-0.5601288288011556,1.1509418980747397,2.8782052485280607,-0.16047314003032678,-0.4579179559721892,-0.14111502596381859,0.9377724077629432,0.045642665555712204,-0.5096743734169189,-0.7809562715508462
48,4.74607712338757,6.096116153009767,3.1142475229422932,4.997283189461806,3.1847731296915853,3.1016275645381026,0.2895066171949847,5.7755916610391,0.29716018973842007,4.963661431559024,5.160782862377455,-0.09985391656785599,0.08160084969421758,1.061788591927223,0.601782632457013,1.065359330085795,-0.34671803224631464,1.5093280628843049,0.3038661496919458,-1.142420272745905,-1.2824489014729008,0.1681783482649625,0.3692338096657191,0.05797474837860231,-0.04381805778513308,0.37888152813688714,0.9671109008851172,1.4012458985646483,-0.6217004612937101,0.27523924276077094,0.31516872599820245,-0.8455362022830126,-0.6110474277511779,-0.40656920868221547,0.48969267287934665,0.29296744858024165,1.8217763672127356,0.26760596076708293,0.22499354101453284,0.07969393265731987,0.6507645591169022,-1.2851088589722168,1.0136490615118512,2.6502539609728752,1.182626322117405,-0.2828895514738413,1.3882705897160583,3.3156206910181054,0.2508188233506586,-0.11015924877529604,0.1333277852353596,1.264468507088201,0.17449773123213647,0.415037499278844,-0.40656920868221547
72,4.7493873237863795,6.179682944542116,2.970014851037162,5.073933873657654,3.2241503440629287,3.0564849917960193,0.3743955147814979,5.815144180492396,0.4733171448922472,5.116891828388076,5.021137811124199,0.007913566233811013,-0.07828955836928891,1.0706849924156194,0.7652159518661321,1.0451340644009204,0.002128732733047145,1.0847226789054272,0.3388107948452617,-1.215837396536079,-1.311504934756984,0.21046552891337653,0.5079070740561267,0.23634308387798866,0.05558497349940193,0.3885740454551021,0.992014582707341,1.3319468598640944,-1.1034951352044604,0.27669541649312185,0.14215372227466794,-0.630792594598362,-0.4189898076290004,-0.4943030656367099,0.5514696433827537,0.12271552274269863,1.8250293450078232,0.2780536382451162,0.2694373838492973,0.08542903575151846,-1.2515387669959646,-1.3185417909887844,0.891818348270584,2.6572011415283474,1.2471390836721334,-0.3458414571017631,1.0418201756946273,3.364384410004323,0.2867820293352683,-0.10794791336711461,0.190600327535269,1.1819245445189845,0.14218001095940822,0.453172628165615,-0.4943030656367099
